City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Henties Bay,-22.116,14.2845,54.86,90,4,3.38,NA,2021-09-25 00:41:59
68,Vaini,-21.2,-175.2,75.36,69,20,14.97,TO,2021-09-25 00:41:59
69,Abha,18.2164,42.5053,62.85,63,0,0.0,SA,2021-09-25 00:41:59
70,Venustiano Carranza,19.43,-99.0992,70.14,52,75,23.0,MX,2021-09-25 00:42:00
71,Hobart,-42.8794,147.3294,48.25,60,40,1.01,AU,2021-09-25 00:38:30
72,Puerto Ayora,-0.7393,-90.3518,69.76,87,100,7.23,EC,2021-09-25 00:42:00
73,Saint-Joseph,-21.3667,55.6167,68.36,78,0,10.87,RE,2021-09-25 00:42:02
74,Sept-Iles,50.2001,-66.3821,53.26,94,90,15.01,CA,2021-09-25 00:42:02
75,Provideniya,64.3833,-173.3,33.8,87,100,17.81,RU,2021-09-25 00:42:03
76,Port Lincoln,-34.7333,135.8667,56.34,55,25,13.04,AU,2021-09-25 00:42:03
77,Chicama,-7.8447,-79.1469,59.54,80,17,6.22,PE,2021-09-25 00:42:03
78,Avarua,-21.2078,-159.775,78.85,50,75,5.75,CK,2021-09-25 00:38:04
79,Bosaso,11.2842,49.1816,86.47,54,60,18.9,SO,2021-09-25 00:42:04
80,Butaritari,3.0707,172.7902,83.75,73,11,11.05,KI,2021-09-25 00:40:36
81,Saint George,37.1041,-113.5841,93.67,10,1,6.91,US,2021-09-25 00:41:01
82,Erenhot,43.6475,111.9767,66.88,56,0,10.6,CN,2021-09-25 00:42:04
83,Kolyvan,55.3053,82.7391,40.05,94,100,9.15,RU,2021-09-25 00:42:05
84,Tiksi,71.6872,128.8694,32.56,80,100,21.47,RU,2021-09-25 00:42:05
85,Sitka,57.0531,-135.33,53.49,71,90,24.16,US,2021-09-25 00:42:06
86,Leh,34.1667,77.5833,51.31,50,41,3.83,IN,2021-09-25 00:41:53
87,Chesma,53.8111,60.6533,39.25,54,96,6.71,RU,2021-09-25 00:42:07
88,Sire,12.9299,5.2043,77.94,76,35,9.69,NG,2021-09-25 00:42:07
89,Rawson,-43.3002,-65.1023,67.75,43,32,25.32,AR,2021-09-25 00:42:07
90,Constantine,36.365,6.6147,79.11,30,73,5.14,DZ,2021-09-25 00:41:40
91,Narsaq,60.9167,-46.05,34.02,45,0,5.84,GL,2021-09-25 00:42:08
92,Chaman,30.9236,66.4512,68.05,20,0,3.8,PK,2021-09-25 00:42:08
93,Mandiana,10.6333,-8.6833,75.13,88,100,0.78,GN,2021-09-25 00:42:09
94,Baykit,61.67,96.37,34.14,88,100,2.93,RU,2021-09-25 00:42:09
95,Touros,-5.1989,-35.4608,77.9,80,0,16.58,BR,2021-09-25 00:42:10
96,Hambantota,6.1241,81.1185,79.14,100,20,8.05,LK,2021-09-25 00:40:21
97,Hithadhoo,-0.6,73.0833,82.44,71,100,12.77,MV,2021-09-25 00:42:10
98,Bredasdorp,-34.5322,20.0403,47.52,93,100,3.44,ZA,2021-09-25 00:42:11
99,Manta,-0.95,-80.7333,74.98,83,40,5.75,EC,2021-09-25 00:42:11
100,Vestmannaeyjar,63.4427,-20.2734,42.58,78,93,3.94,IS,2021-09-25 00:42:12
101,Lorengau,-2.0226,147.2712,84.58,69,99,10.51,PG,2021-09-25 00:42:12
102,Saint-Augustin,51.226,-58.6502,47.43,72,19,6.8,CA,2021-09-25 00:42:13
103,Sampit,-2.5333,112.95,81.3,79,90,1.19,ID,2021-09-25 00:42:13
